x,,
1,metryczka.plec,
2,metryczka.wiek,
3,metryczka.miejsce,
4,metryczka.wyksztalcenie,
5,metryczka.nauka,
6,metryczka.praca,
7,metryczka.osoby,
8,metryczka.dzieci,
9,metryczka.zakupy,
10,metryczka.przygotowanie,
11,metryczka.sytuacja,
12,metryczka.wiedza,
13,metryczka.dieta,
14,fcq.dieta_kalorie,
15,fcq.cena_wartosc,
16,fcq.eko_opakowana,
17,fcq.eko_produkowana,
18,fcq.dieta_tluszcz,
19,fcq.pol_pochodzenie,
20,fcq.eko_bezgmo,
21,fcq.dieta_wit-i-min,
22,fcq.dieta_bezdodatkow,
23,fcq.dieta_odzywcza,
24,fcq.dieta_bialko,
25,fcq.dieta_naturalna,
26,fcq.hed_zdziecinstwa,
27,fcq.hed_odprezajaca,
28,fcq.hed_wygodna,
29,frl.nowe_zawartosc,
30,frl.dieta_odzywcza,
31,frl.cena_info,
32,frl.nowe_etykiety,
33,frl.dieta_naturalna,
34,frl.dieta_bezdodatkow,
35,frl.dieta_wartosc,
36,fns.nowe_ufnosc,
37,fns.nowe_przyjecia,
38,cet.pol_bezrobocie,
39,cet.pol_niedostepne,
40,cet.pol_nieprodukowane,
41,mgr.nowe_marki,
42,mgr.hed_przepis,
43,mgr.hed_przyjemnosc,
44,mgr.hed_niesmaczna,
45,mgr.pol_swieza,
46,mgr.pol_tania,
47,mgr.pol_smaczna,
48,mgr.nowe_sklad,
49,mgr.hed_wrazenie,
50,mgr.hed_zakupy,
51,mgr.hed_szybko,
52,ziemniak.cena,52
53,ziemniak.miejsce,
54,ziemniak.swiezosc,
55,ziemniak.rodzaj,
56,ziemniak.kraj,
57,ziemniak.barwa,
58,ziemniak.wyglad,58
59,ziemniak.spozycie,59
60,ziemniak.okres,60
61,ziemniak.sklep,61
62,ziemniak.opakowanie,
63,ziemniak.obrobka,
64,ziemniak.potrawy,
65,ziemniak.zdrowotnosc,
66,ziemniak.smak,
67,ziemniak.jakosc,
68,ziemniak.produkty,
69,pomidor.cena,69
70,pomidor.miejsce,
71,pomidor.swiezosc,
72,pomidor.rodzaj,
73,pomidor.kraj,
74,pomidor.barwa,
75,pomidor.slodkosc,
76,pomidor.miekkosc,76
77,pomidor.spozycie,77
78,pomidor.okres,78
79,pomidor.sklep,79
80,pomidor.obrobka,
81,pomidor.potrawy,
82,pomidor.zdrowotnosc,
83,pomidor.smak,
84,pomidor.jakosc,
85,pomidor.produkty,
86,jablko.cena,86
87,jablko.miejsce,
88,jablko.swiezosc,
89,jablko.rodzaj,
90,jablko.kraj,
91,jablko.barwa,
92,jablko.miekkosc,
93,jablko.slodkosc,93
94,jablko.spozycie,94
95,jablko.okres,95
96,jablko.sklep,96
97,jablko.obrobka,
98,jablko.potrawy,
99,jablko.zdrowotnosc,
100,jablko.smak,
101,jablko.jakosc,
102,jablko.produkty,
103,pomarancza.cena,103
104,pomarancza.miejsce,
105,pomarancza.swiezosc,
106,pomarancza.rodzaj,
107,pomarancza.kraj,
108,pomarancza.barwa,
109,pomarancza.miekkosc,
110,pomarancza.slodkosc,110
111,pomarancza.spozycie,111
112,pomarancza.okres,112
113,pomarancza.sklep,113
114,pomarancza.obrobka,
115,pomarancza.potrawy,
116,pomarancza.zdrowotnosc,
117,pomarancza.smak,
118,pomarancza.jakosc,
119,pomarancza.produkty,
120,makaron.cena,120
121,makaron.miejsce,
122,makaron.swiezosc,
123,makaron.rodzaj,
124,makaron.kraj,
125,makaron.barwa,
126,makaron.marka,126
127,makaron.spozycie,127
128,makaron.okres,128
129,makaron.sklep,129
130,makaron.obrobka,
131,makaron.potrawy,
132,makaron.zdrowotnosc,
133,makaron.smak,
134,makaron.jakosc,
135,platki.cena,135
136,platki.miejsce,
137,platki.swiezosc,
138,platki.rodzaj,
139,platki.kraj,
140,platki.blonnik,
141,platki.marka,141
142,platki.sklep,142
143,platki.spozycie,143
144,platki.obrobka,
145,platki.potrawy,
146,platki.zdrowotnosc,
147,platki.smak,
148,platki.jakosc,
149,pieczywo.cena,149
150,pieczywo.miejsce,
151,pieczywo.swiezosc,
152,pieczywo.rodzaj,
153,pieczywo.kraj,
154,pieczywo.barwa,
155,pieczywo.ziarna,
156,pieczywo.blonnik,156
157,pieczywo.sklep,157
158,pieczywo.spozycie,158
159,pieczywo.opakowanie,
160,pieczywo.obrobka,
161,pieczywo.potrawy,
162,pieczywo.zdrowotnosc,
163,pieczywo.smak,
164,pieczywo.jakosc,
